genre;songno;tags
"blues"; 216; "blues,funk,"
"blues"; 220; "blues,folk,"
"blues"; 222; "trance,blues,atmospheric,"
"blues"; 224; "blues,"
"blues"; 226; "blues,electronic,garage,psychedelic,"
"blues"; 227; "world,blues,"
"blues"; 230; "blues,"
"blues"; 232; "blues,"
"blues"; 234; "folk,world,blues,"
"blues"; 235; "funk,blues,world,soul,"
"blues"; 238; "blues,"
"blues"; 240; "funk,blues,"
"blues"; 241; "blues,singersongwriter,"
"blues"; 242; "electronic,triphop,ambient,blues,"
"blues"; 243; "blues,ambient,funk,"
"blues"; 244; "folk,blues,"
"blues"; 246; "blues,world,"
"blues"; 248; "blues,"
"blues"; 250; "blues,downtempo,experimental,"
"blues"; 251; "world,blues,"
"blues"; 253; "folk,blues,"
"blues"; 255; "blues,"
"blues"; 258; "blues,"
"blues"; 260; "funk,world,blues,soul,"
"blues"; 261; "blues,chanson,"
"blues"; 263; "blues,world,"
"blues"; 264; "groove,blues,jazzfunk,"
"blues"; 265; "blues,"
"blues"; 266; "groove,blues,drumnbass,"
"blues"; 267; "blues,world,chanson,"
"blues"; 269; "rhythmandblues,blues,"
"blues"; 272; "blues,world,lofi,alternative,"
"blues"; 273; "improvisation,folk,blues,"
"blues"; 274; "blues,atmospheric,alternative,"
"blues"; 275; "chansonfrancaise,singersongwriter,avantgarde,blues,"
"blues"; 280; "blues,world,"
"blues"; 282; "blues,"
"blues"; 283; "60s,80s,90s,blues,"
"blues"; 289; "blues,hardrock,jazzfunk,"
"blues"; 291; "world,blues,folk,"
"blues"; 295; "chillout,blues,classicrock,easylistening,"
"blues"; 297; "blues,"
"blues"; 298; "world,blues,"
"blues"; 299; "blues,funk,"
"blues"; 302; "world,blues,"
"blues"; 303; "funk,soul,pop,rnb,"
"blues"; 304; "blues,"
"blues"; 306; "blues,"
"blues"; 307; "blues,"
"blues"; 308; "blues,"
"blues"; 309; "blues,popfolk,"
"blues"; 310; "world,blues,"
"blues"; 311; "blues,"
"blues"; 315; "lofi,singersongwriter,blues,"
"blues"; 317; "blues,indie,"
"blues"; 319; "funk,blues,soul,"
"blues"; 321; "blues,world,"
"blues"; 325; "folk,blues,"
"blues"; 326; "80s,blues,classicrock,"
"blues"; 327; "blues,"
"blues"; 329; "blues,"
"blues"; 331; "dance,blues,"
"blues"; 334; "funk,soul,blues,electropop,"
"blues"; 337; "blues,ambient,alternativerock,"
"blues"; 339; "blues,world,"
"blues"; 341; "blues,"
"blues"; 342; "blues,"
"blues"; 343; "blues,"
"blues"; 344; "blues,"
"blues"; 346; "world,blues,"
"blues"; 348; "chillout,lounge,blues,"
"blues"; 349; "world,blues,"
"blues"; 351; "folk,blues,popfolk,"
"blues"; 352; "funk,blues,progressive,"
"blues"; 354; "blues,"
"blues"; 355; "blues,jazzfunk,"
"blues"; 356; "blues,"
"blues"; 359; "funk,blues,soul,"
"blues"; 360; "blues,"
"blues"; 361; "blues,"
"blues"; 363; "blues,"
"blues"; 364; "blues,"
"blues"; 365; "funk,blues,world,soul,"
"blues"; 367; "blues,"
"blues"; 368; "folk,blues,progressive,"
"blues"; 372; "blues,"
"blues"; 373; "world,blues,"
"blues"; 374; "blues,"
"blues"; 380; "blues,world,"
"blues"; 382; "world,blues,"
"blues"; 384; "folk,punk,blues,electronic,"
"blues"; 387; "blues,"
"blues"; 389; "blues,"
"blues"; 390; "blues,"
"blues"; 391; "blues,funk,"
"blues"; 392; "world,blues,"
"blues"; 395; "blues,"
"blues"; 397; "blues,"
"blues"; 398; "blues,funk,"
"blues"; 400; "blues,"
"blues"; 401; "experimental,blues,alternative,"
"blues"; 402; "blues,easylistening,"
"blues"; 405; "blues,"
"blues"; 407; "funk,world,blues,soul,"
"blues"; 411; "blues,singersongwriter,"
"blues"; 412; "blues,alternative,singersongwriter,"
"blues"; 415; "rap,blues,avantgarde,"
"blues"; 416; "folk,blues,"
"blues"; 418; "blues,"
"blues"; 419; "dance,blues,electronic,"
"blues"; 421; "blues,alternative,"
"blues"; 422; "electronic,lounge,blues,chillout,"
"blues"; 424; "soundtrack,blues,electronic,ambient,"
"blues"; 425; "blues,world,folk,"
"blues"; 426; "blues,"
"blues"; 427; "blues,folk,"
"blues"; 428; "grunge,atmospheric,blues,"
"blues"; 430; "folk,alternative,blues,"
"blues"; 431; "popfolk,blues,"
"blues"; 433; "blues,"
"blues"; 434; "electronic,ambient,experimental,"
"blues"; 435; "blues,funk,"
"blues"; 439; "blues,"
"blues"; 440; "funk,blues,soul,"
"blues"; 441; "blues,"
"blues"; 444; "blues,"
"blues"; 446; "blues,singersongwriter,soul,"
"blues"; 450; "blues,ambient,atmospheric,"
"blues"; 452; "blues,folk,"
"blues"; 455; "blues,folk,"
"blues"; 457; "newage,improvisation,blues,"
"blues"; 459; "blues,"
"blues"; 462; "rhythmandblues,blues,"
"blues"; 463; "blues,"
"blues"; 465; "rhythmandblues,blues,"
"blues"; 470; "electronic,funk,blues,techno,"
"blues"; 471; "world,blues,"
"blues"; 474; "blues,"
"blues"; 475; "blues,folk,"
"blues"; 477; "blues,funk,"
"blues"; 478; "world,blues,"
"blues"; 479; "blues,"
"blues"; 480; "folk,blues,"
"blues"; 484; "world,blues,"
"blues"; 485; "blues,"
"blues"; 486; "blues,"
"blues"; 487; "90s,rap,blues,"
"blues"; 489; "blues,"
"blues"; 490; "blues,world,"
"blues"; 491; "blues,bossanova,latin,samba,"
"blues"; 492; "blues,"
"blues"; 494; "blues,chillout,souljazz,"
"blues"; 497; "blues,lounge,soundtrack,"
"blues"; 499; "blues,newage,chillout,popfolk,"
"blues"; 501; "blues,"
"blues"; 502; "experimental,blues,ambient,electronic,"
"blues"; 503; "80s,blues,minimal,"
"blues"; 506; "blues,"
"blues"; 509; "blues,souljazz,"
"blues"; 512; "blues,world,"
"blues"; 515; "world,blues,"
"blues"; 517; "ambient,blues,"
"blues"; 519; "blues,"
"blues"; 521; "experimental,psychedelic,blues,"
"blues"; 524; "blues,"
"blues"; 527; "latin,world,funk,blues,"
"blues"; 528; "blues,funk,soul,"
"blues"; 529; "blues,soul,"
"blues"; 530; "blues,"
"blues"; 531; "world,blues,"
"blues"; 533; "blues,60s,rocknroll,"
"blues"; 534; "blues,"
"blues"; 535; "blues,"
"blues"; 536; "blues,"
"blues"; 537; "blues,"
"blues"; 539; "chanson,easylistening,alternative,blues,"
"blues"; 541; "blues,"
"blues"; 542; "world,blues,easylistening,indie,"
"blues"; 543; "blues,folk,world,"
"blues"; 544; "blues,hardrock,classicrock,"
"blues"; 546; "improvisation,blues,"
"blues"; 547; "blues,"
"blues"; 548; "blues,"
"blues"; 550; "blues,"
"blues"; 551; "blues,lounge,"
"blues"; 553; "blues,"
"blues"; 554; "blues,easylistening,"
"blues"; 556; "electronic,rocknroll,blues,"
"blues"; 558; "blues,ambient,atmospheric,"
"blues"; 559; "blues,triphop,"
"blues"; 560; "blues,"
"blues"; 562; "blues,"
"blues"; 565; "blues,"
"blues"; 567; "blues,easylistening,chillout,"
"blues"; 572; "electronic,progressive,blues,"
"blues"; 574; "blues,"
"blues"; 577; "blues,world,"
"blues"; 578; "blues,atmospheric,african,"
"blues"; 579; "blues,alternative,avantgarde,soundtrack,"
"blues"; 582; "blues,"
"blues"; 583; "blues,world,"
"blues"; 585; "blues,"
"blues"; 586; "blues,"
"blues"; 589; "blues,"
"blues"; 590; "blues,"
"blues"; 591; "blues,"
"blues"; 593; "blues,"
"blues"; 595; "blues,world,"
"blues"; 596; "world,blues,"
"blues"; 598; "blues,"
"blues"; 599; "folk,blues,indie,world,"
"blues"; 604; "world,blues,"
"blues"; 605; "blues,"
"blues"; 606; "world,blues,"
"blues"; 607; "blues,"
"blues"; 610; "blues,"
"blues"; 612; "blues,bossanova,"
"blues"; 613; "blues,"
"blues"; 616; "blues,world,"
"blues"; 618; "blues,"
"blues"; 620; "blues,singersongwriter,popfolk,"
"blues"; 622; "blues,"
"blues"; 623; "70s,rockfrancais,blues,"
"blues"; 624; "blues,"
"blues"; 625; "world,blues,"
"blues"; 626; "blues,electronic,chansonfrancaise,"
"blues"; 628; "80s,newage,blues,electropop,"
"blues"; 629; "blues,"
"blues"; 633; "world,blues,electronic,experimental,"
"blues"; 635; "world,blues,"
"blues"; 637; "60s,blues,hardrock,"
"blues"; 640; "blues,latin,"
"blues"; 641; "blues,"
"blues"; 642; "blues,soul,souljazz,"
"blues"; 645; "folk,blues,"
"blues"; 647; "blues,"
"blues"; 648; "80s,blues,punkrock,"
"blues"; 649; "blues,"
"blues"; 651; "blues,"
"blues"; 653; "blues,"
"blues"; 656; "funk,downtempo,soul,blues,"
"blues"; 657; "electronic,rnb,blues,soul,"
"blues"; 658; "blues,improvisation,freejazz,avantgarde,"
"blues"; 659; "rnb,blues,alternative,"
"blues"; 661; "blues,"
"blues"; 663; "funk,dance,blues,soul,"
"blues"; 664; "blues,lofi,singersongwriter,"
"blues"; 665; "folk,experimental,blues,"
"blues"; 666; "blues,"
"blues"; 668; "improvisation,funk,blues,"
"blues"; 670; "world,newage,blues,"
"blues"; 671; "blues,"
"blues"; 672; "blues,indie,"
"blues"; 673; "world,blues,"
"blues"; 675; "blues,soundtrack,"
"blues"; 681; "funk,blues,"
"blues"; 682; "blues,"
"blues"; 683; "blues,"
"blues"; 684; "blues,"
"blues"; 685; "house,electronic,dance,blues,"
"blues"; 687; "blues,electronic,"
"blues"; 692; "blues,"
"blues"; 693; "world,blues,"
"blues"; 694; "experimental,blues,electronic,downtempo,"
"blues"; 697; "blues,funk,"
"blues"; 698; "blues,"
"blues"; 699; "blues,"
"blues"; 703; "blues,"
"blues"; 709; "blues,"
"blues"; 715; "world,blues,"
"blues"; 716; "blues,"
"blues"; 717; "world,blues,"
"blues"; 718; "newage,chillout,improvisation,blues,"
"blues"; 719; "blues,classicrock,"
"blues"; 722; "chillout,downtempo,80s,blues,"
"blues"; 724; "funk,soul,groove,blues,"
"blues"; 725; "world,blues,"
"blues"; 726; "blues,experimental,"
"blues"; 727; "world,blues,"
"blues"; 728; "world,blues,"
"blues"; 729; "blues,"
"blues"; 730; "blues,world,funk,"
"blues"; 731; "60s,blues,ambient,"
"blues"; 734; "blues,"
"blues"; 735; "blues,"
"blues"; 736; "folk,blues,"
"blues"; 737; "funk,blues,soul,world,"
"blues"; 738; "blues,"
"blues"; 739; "funk,blues,hard,"
"blues"; 742; "folk,blues,indie,"
"blues"; 746; "blues,atmospheric,"
"blues"; 747; "blues,downtempo,easylistening,world,"
"blues"; 749; "world,blues,funk,soul,"
"blues"; 750; "blues,experimental,lofi,"
"blues"; 753; "blues,african,acidrock,"
"blues"; 756; "blues,electronic,psychedelic,"
"blues"; 758; "blues,"
"blues"; 760; "blues,avantgarde,progressive,"
"blues"; 761; "blues,"
"blues"; 762; "world,blues,"
"blues"; 763; "blues,"
"blues"; 765; "blues,"
"blues"; 766; "soundtrack,rocknroll,rhythmandblues,blues,"
"blues"; 767; "blues,"
"blues"; 769; "world,blues,"
"blues"; 772; "folk,blues,indie,"
"blues"; 774; "electronic,downtempo,blues,avantgarde,"
"blues"; 775; "blues,electronic,ambient,"
"blues"; 776; "acidjazz,blues,indie,"
"blues"; 778; "60s,blues,newwave,"
"blues"; 779; "punk,hardcore,punkrock,blues,"
"blues"; 780; "blues,"
"blues"; 781; "blues,"
"blues"; 785; "blues,"
"blues"; 788; "60s,rhythmandblues,blues,"
"blues"; 790; "blues,"
"blues"; 791; "world,house,electronic,blues,"
"blues"; 793; "blues,"
"blues"; 795; "blues,"
"blues"; 796; "funk,world,blues,soul,"
"blues"; 797; "funk,blues,"
"blues"; 798; "blues,"
"blues"; 799; "blues,"
"blues"; 801; "blues,"
"blues"; 802; "funk,blues,"
"blues"; 803; "blues,world,"
"blues"; 804; "blues,"
"blues"; 806; "folk,blues,"
"blues"; 807; "world,blues,"
"blues"; 808; "blues,"
"blues"; 811; "funk,soul,blues,fusion,"
"blues"; 812; "funk,blues,"
"blues"; 813; "world,blues,"
"blues"; 816; "world,blues,"
"blues"; 818; "electronic,dance,blues,downtempo,"
"blues"; 820; "blues,"
"blues"; 822; "blues,"
"blues"; 824; "blues,"
"blues"; 825; "folk,blues,"
"blues"; 826; "world,blues,"
"blues"; 827; "blues,"
"blues"; 829; "world,blues,popfolk,"
"blues"; 830; "folk,blues,singersongwriter,"
"blues"; 833; "blues,"
"blues"; 834; "blues,"
"blues"; 835; "blues,"
"blues"; 836; "blues,"
"blues"; 837; "improvisation,popfolk,experimental,blues,"
"blues"; 838; "blues,"
"blues"; 842; "blues,"
"blues"; 843; "world,blues,funk,"
"blues"; 844; "blues,"
"blues"; 846; "blues,world,"
"blues"; 847; "blues,"
"blues"; 848; "blues,"
"blues"; 850; "soundtrack,world,blues,electronic,"
"blues"; 852; "blues,alternative,"
"blues"; 855; "world,blues,"
"blues"; 856; "dance,blues,techno,house,"
"blues"; 858; "blues,"
"blues"; 859; "blues,"
"blues"; 860; "funk,blues,electronic,soul,"
"blues"; 863; "blues,"
"blues"; 864; "blues,"
"blues"; 865; "blues,world,folk,"
"blues"; 867; "blues,world,"
"blues"; 869; "electronic,blues,dub,chillout,"
"blues"; 871; "world,blues,"
"blues"; 872; "funk,blues,soul,"
"blues"; 873; "blues,"
"blues"; 874; "blues,"
"blues"; 875; "newage,blues,electronic,"
"blues"; 878; "blues,latin,easylistening,alternative,"
"blues"; 880; "blues,"
"blues"; 882; "blues,"
"blues"; 885; "folk,blues,"
"blues"; 887; "funk,blues,soul,"
"blues"; 888; "blues,electronic,synthpop,"
"blues"; 891; "blues,"
"blues"; 892; "world,blues,"
"blues"; 893; "psychedelic,alternative,psytrance,blues,"
"blues"; 894; "blues,"
"blues"; 896; "blues,improvisation,"
"blues"; 898; "blues,"
"blues"; 901; "psychedelic,blues,"
"blues"; 902; "blues,"
"blues"; 906; "blues,"
"blues"; 907; "60s,improvisation,blues,"
"blues"; 908; "blues,"
"blues"; 910; "blues,chansonfrancaise,"
"blues"; 911; "latin,world,blues,funk,"
"blues"; 912; "world,blues,experimental,"
"blues"; 914; "folk,alternative,blues,"
"blues"; 915; "folk,blues,world,"
"blues"; 918; "blues,"
"blues"; 919; "funk,blues,soul,chanson,"
"blues"; 921; "blues,soundtrack,atmospheric,world,"
"blues"; 922; "blues,"
"blues"; 925; "blues,world,"
"blues"; 926; "blues,"
"blues"; 927; "funk,blues,soul,"
"blues"; 928; "70s,blues,indie,"
"blues"; 931; "blues,"
"blues"; 933; "blues,alternative,world,"
"blues"; 936; "blues,"
"blues"; 938; "blues,"
"blues"; 939; "dance,blues,"
"blues"; 943; "funk,world,blues,soul,"
"blues"; 946; "blues,"
"blues"; 949; "blues,"
"blues"; 952; "blues,"
"blues"; 953; "blues,"
"blues"; 956; "blues,electropop,"
"blues"; 957; "triphop,blues,"
"blues"; 958; "blues,soundtrack,"
"blues"; 960; "blues,"
"blues"; 962; "world,blues,"
"blues"; 964; "blues,"
"blues"; 967; "blues,tango,"
"blues"; 968; "folk,popfolk,blues,"
"blues"; 969; "blues,"
"blues"; 970; "funk,blues,classicrock,soul,"
"blues"; 971; "blues,"
"blues"; 972; "blues,"
"blues"; 973; "blues,"
"blues"; 974; "blues,"
"blues"; 975; "blues,"
"blues"; 978; "hardrock,blues,"
"blues"; 979; "blues,"
"blues"; 981; "blues,"
"blues"; 984; "blues,"
"blues"; 989; "rocknroll,blues,ambient,world,"
"blues"; 991; "blues,"
"blues"; 992; "blues,"
"blues"; 996; "blues,"
"blues"; 997; "folk,blues,"
"blues"; 998; "blues,"
"blues"; 999; "punk,blues,"
"blues"; 1001; "blues,"
"blues"; 1002; "blues,"
"blues"; 1003; "blues,ambient,progressiverock,"
"blues"; 1004; "easylistening,newage,blues,electronic,"
"blues"; 1005; "blues,"
"blues"; 1006; "blues,"
"blues"; 1007; "blues,folk,singersongwriter,world,"
"blues"; 1012; "blues,"
"blues"; 1013; "blues,"
"blues"; 1014; "funk,swing,soul,blues,"
"blues"; 1017; "world,blues,"
"blues"; 1021; "folk,blues,latin,"
"blues"; 1025; "blues,"
"blues"; 1026; "blues,"
"blues"; 1027; "blues,world,"
"blues"; 1029; "blues,"
"blues"; 1031; "blues,singersongwriter,easylistening,"
"blues"; 1034; "blues,world,"
"blues"; 1035; "world,blues,"
"blues"; 1037; "blues,world,"
"blues"; 1039; "newage,blues,"
"blues"; 1040; "world,blues,"
"blues"; 1041; "blues,indie,psychedelic,"
"blues"; 1042; "blues,"
"blues"; 1044; "improvisation,blues,"
"blues"; 1046; "blues,"
"blues"; 1047; "manouche,blues,world,"
"blues"; 1048; "blues,rocknroll,70s,"
"blues"; 1049; "world,blues,"
"blues"; 1050; "blues,"
"blues"; 1052; "improvisation,blues,hardrock,"
"blues"; 1054; "blues,"
"blues"; 1056; "blues,"
"blues"; 1059; "blues,"
"blues"; 1060; "folk,alternative,popfolk,blues,"
"blues"; 1067; "blues,electronic,classicrock,"
"blues"; 1068; "folk,blues,world,"
"blues"; 1069; "folk,blues,popfolk,"
"blues"; 1070; "blues,"
"blues"; 1071; "blues,"
"blues"; 1074; "world,blues,"
"blues"; 1075; "blues,world,"
"blues"; 1077; "blues,"
"blues"; 1078; "triphop,acidjazz,electronic,blues,"
"blues"; 1079; "rhythmandblues,blues,progressive,"
"blues"; 1080; "folk,blues,indie,"
"blues"; 1081; "funk,soul,blues,"
"blues"; 1082; "60s,blues,atmospheric,"
"blues"; 1084; "blues,"
"blues"; 1085; "blues,classicrock,"
"blues"; 1086; "funk,blues,soul,"
"blues"; 1088; "blues,funk,"
"blues"; 1089; "blues,indie,alternative,"
"blues"; 1091; "funk,blues,"
"blues"; 1092; "blues,ambient,"
"blues"; 1093; "funk,world,blues,"
"blues"; 1094; "blues,ambient,alternative,world,"
"blues"; 1099; "blues,experimental,"
"blues"; 1100; "world,blues,"
"blues"; 1102; "world,blues,"
"blues"; 1105; "blues,"
"blues"; 1107; "blues,"
"blues"; 1112; "blues,"
"blues"; 1113; "improvisation,blues,atmospheric,"
"blues"; 1114; "lounge,acidjazz,blues,chillout,"
"blues"; 1116; "funk,soul,world,blues,"
"blues"; 1117; "blues,world,"
"blues"; 1119; "soundtrack,blues,"
"blues"; 1120; "world,blues,"
"blues"; 1125; "chanson,blues,world,"
"blues"; 1126; "world,blues,"
"blues"; 1130; "world,blues,"
"blues"; 1131; "folk,blues,"
"blues"; 1132; "blues,"
"blues"; 1136; "downtempo,world,chillout,blues,"
"blues"; 1138; "blues,atmospheric,experimental,"
"blues"; 1142; "world,blues,"
"blues"; 1144; "world,blues,"
"blues"; 1147; "electronic,blues,"
"blues"; 1149; "blues,funk,"
"blues"; 1152; "funk,groove,blues,chillout,"
"blues"; 1153; "blues,folk,world,"
"blues"; 1154; "blues,"
"blues"; 1156; "blues,world,"
"blues"; 1157; "folk,blues,"
"blues"; 1158; "blues,funk,"
"blues"; 1159; "blues,"
"blues"; 1160; "world,blues,funk,"
"blues"; 1164; "blues,"
"blues"; 1167; "blues,electronic,idm,"
"blues"; 1168; "improvisation,freejazz,avantgarde,blues,"
"blues"; 1170; "blues,"
"blues"; 1171; "blues,"
"blues"; 1172; "blues,"
"blues"; 1173; "folk,blues,popfolk,"
"blues"; 1176; "blues,"
"blues"; 1177; "blues,"
"blues"; 1178; "blues,"
"blues"; 1179; "blues,"
"blues"; 1180; "blues,world,"
"blues"; 1182; "world,60s,folk,blues,"
"blues"; 1185; "chillout,downtempo,gospel,blues,"
"blues"; 1186; "folk,blues,"
"blues"; 1187; "folk,blues,"
"blues"; 1188; "blues,"
"blues"; 1190; "blues,ska,world,funk,"
"blues"; 1191; "blues,downtempo,"
"blues"; 1192; "blues,"
"blues"; 1195; "funk,blues,soul,"
"blues"; 1199; "world,blues,"
"blues"; 1203; "blues,"
"blues"; 1204; "world,blues,"
"blues"; 1206; "funk,electronic,soul,blues,"
"blues"; 1209; "blues,lounge,"
"blues"; 1211; "blues,world,"
"blues"; 1212; "folk,blues,chillout,"
"blues"; 1213; "blues,funk,electronic,"
"blues"; 1214; "world,blues,"
"blues"; 1217; "blues,folk,"
"blues"; 1218; "blues,"
"blues"; 1219; "triphop,blues,"
"blues"; 1221; "alternative,blues,folk,"
"blues"; 1222; "blues,"
"blues"; 1225; "blues,alternative,experimental,"
"blues"; 1226; "blues,electronic,psychedelic,"
"blues"; 1227; "blues,"
"blues"; 1228; "blues,"
"blues"; 1229; "funk,latin,soul,blues,"
"blues"; 1231; "blues,"
"blues"; 1232; "blues,"
"blues"; 1235; "blues,"
"blues"; 1236; "funk,soul,blues,world,"
"blues"; 1239; "blues,"
"blues"; 1240; "blues,world,"
"blues"; 1241; "world,blues,"
"blues"; 1242; "blues,"
"blues"; 1244; "blues,"
"blues"; 1245; "blues,folk,"
"blues"; 1246; "blues,"
"blues"; 1247; "soundtrack,blues,ambient,"
"blues"; 1250; "blues,"
"blues"; 1252; "blues,"
"blues"; 1253; "world,blues,"
"blues"; 1254; "blues,"
"blues"; 1256; "blues,"
"blues"; 1258; "funk,blues,soul,"
"blues"; 1260; "blues,"
"blues"; 1262; "blues,"
"blues"; 1263; "newage,blues,soundtrack,soul,"
"blues"; 1265; "blues,electronic,experimental,"
"blues"; 1267; "folk,blues,chanson,"
"blues"; 1268; "world,funk,blues,"
"blues"; 1269; "blues,world,"
"blues"; 1270; "blues,breakbeat,club,"
"blues"; 1271; "blues,"
"blues"; 1273; "groove,blues,jazzfunk,"
"blues"; 1274; "funk,soul,blues,fusion,"
"blues"; 1275; "blues,singersongwriter,"
"blues"; 1279; "blues,"
"blues"; 1280; "blues,soundtrack,experimental,"
"blues"; 1281; "blues,funk,soul,"
"blues"; 1283; "folk,blues,"
"blues"; 1287; "blues,"
"blues"; 1288; "blues,"
"blues"; 1289; "80s,blues,"
"blues"; 1290; "world,folk,ethno,blues,"
"blues"; 1293; "rhythmandblues,blues,swing,"
"blues"; 1304; "blues,"
"blues"; 1305; "dub,blues,dubstep,"
"blues"; 1306; "folk,blues,"
"blues"; 1308; "funk,electronic,blues,soul,"
"blues"; 1313; "blues,"
"blues"; 1314; "blues,"
"blues"; 1315; "blues,"
"blues"; 1316; "blues,indie,experimental,electronic,"
"blues"; 1319; "singersongwriter,blues,"
"blues"; 1322; "soul,blues,funk,singersongwriter,"
"blues"; 1323; "blues,"
"blues"; 1324; "blues,"
"blues"; 1327; "world,blues,"
"blues"; 1328; "blues,freejazz,easylistening,"
"blues"; 1330; "dance,latin,world,blues,"
"blues"; 1331; "blues,"
"blues"; 1332; "funk,blues,soul,"
"blues"; 1333; "blues,"
"blues"; 1334; "blues,"
"blues"; 1335; "blues,"
"blues"; 1336; "blues,fusion,"
"blues"; 1337; "blues,chillout,experimental,world,"
"blues"; 1338; "easylistening,blues,improvisation,"
"blues"; 1339; "blues,"
"blues"; 1341; "blues,"
"blues"; 1343; "blues,"
"blues"; 1344; "blues,"
"blues"; 1345; "blues,improvisation,noise,"
"blues"; 1346; "blues,alternativerock,acidrock,"
"blues"; 1347; "blues,"
"blues"; 1352; "blues,"
"blues"; 1353; "folk,blues,"
"blues"; 1355; "folk,blues,"
"blues"; 1356; "blues,chillout,"
"blues"; 1358; "60s,blues,atmospheric,"
"blues"; 1359; "experimental,blues,"
"blues"; 1360; "blues,"
"blues"; 1361; "blues,"
"blues"; 1362; "blues,"
"blues"; 1363; "blues,"
"blues"; 1365; "blues,world,"
"blues"; 1366; "blues,"
"blues"; 1370; "indie,blues,"
"blues"; 1371; "blues,progressive,world,"
"blues"; 1376; "blues,"
"classical"; 1; "atmospheric,classical,experimental,"
"classical"; 2; "ambient,alternative,classical,"
"classical"; 3; "classical,soundtrack,ambient,"
"classical"; 5; "classical,"
"classical"; 7; "classical,"
"classical"; 8; "classical,soundtrack,"
